State,Abbrv,EV
alabama,AL,9
alaska,AK,3
arizona,AZ,11
arkansas,AR,6
california,CA,55
colorado,CO,9
connecticut,CT,7 
delaware,DE,3
district of columbia,DC,3
florida,FL,29
georgia,GA,16
hawaii,HI,4
idaho,ID,4
illinois,IL,20
indiana,IN,11
iowa,IA,6
kansas,KS,6
kentucky,KY,8 
louisiana,LA,8
maine,ME,4 
maryland,MD,10
massachusetts,MA,11
michigan,MI,16 
minnesota,MN,10
mississippi,MS,6
missouri,MO,10
montana,MT,3
nebraska,NE,5
nevada,NV,6
new hampshire,NH,4
new jersey,NJ,14
new mexico,NM,5 
new york,NY,29 
north carolina,NC,15
north dakota,ND,3
ohio,OH,18
oklahoma,OK,7
oregon,OR,7
pennsylvania,PA,20
rhode island,RI,4
south carolina,SC,9
south dakota,SD,3
tennessee,TN,11 
texas,TX,38 
utah,UT,6 
vermont,VT,3
virginia,VA,13
washington,WA,12
west virginia,WV,5 
wisconsin,WI,10 
wyoming,WY,3
